name,country,genre,date_of_birth,date_of_death
Palokë Kurti,ALBANIA,Folk and Contemporary,1858,1920
Kristo Kono,ALBANIA,Folk and Contemporary,1907,1991
Rexho Mulliqi,ALBANIA,Folk and Contemporary,1923,1982
Avni Mula,ALBANIA,Folk and Contemporary,1928,
Esat Rizvanolli,ALBANIA,Folk and Contemporary,1936,
Agim Krajka,ALBANIA,Folk and Contemporary,1937,
Zef Çoba,ALBANIA,Folk and Contemporary,1951,
Vasil Tole,ALBANIA,Folk and Contemporary,born 1963,
Pirro Çako,ALBANIA,Folk and Contemporary,1965,
Artan Tushi,ALBANIA,Folk and Contemporary,1971,
Flori Mumajesi,ALBANIA,Folk and Contemporary,1982,
Lorenc Antoni,ALBANIA,Classical and Film,1909,1991
Prenkë Jakova,ALBANIA,Classical and Film,1917,1969
Nikolla Zoraqi,ALBANIA,Classical and Film,1921,1991
Mustafa Krantja,ALBANIA,Classical and Film,1921,2002
Simon Gjoni,ALBANIA,Classical and Film,1925,1991
Tonin Harapi,ALBANIA,Classical and Film,1925,1991
Tish Daija,ALBANIA,Classical and Film,1926,2004
Çesk Zadeja,ALBANIA,Classical and Film,1927,1997
Feim Ibrahimi,ALBANIA,Classical and Film,1935,1997
Gjon Simoni,ALBANIA,Classical and Film,1936,1999
Limoz Dizdari,ALBANIA,Classical and Film,1942,
Lejla Agolli,ALBANIA,Classical and Film,born 1950,
Aleksandër Peçi,ALBANIA,Classical and Film,1951,
David Tukiçi,ALBANIA,Classical and Film,1956,
Thomas Simaku,ALBANIA,Classical and Film,1958,
Antonio Agri,ARGENTINA,Classical,1932,1998
Amancio Jacinto Alcorta,ARGENTINA,Classical,1805,1862
Eduardo Alonso-Crespo,ARGENTINA,Classical,born 1956,
Rodolfo Arízaga,ARGENTINA,Classical,1926,1985
Hector Ayala,ARGENTINA,Classical,1914,1990
Luis Bacalov,ARGENTINA,Classical,born 1933,
Esteban Benzecry,ARGENTINA,Classical,born 1970,
Felipe Boero,ARGENTINA,Classical,1884,1958
Jose Antonio Bottiroli,ARGENTINA,Classical,1920,1990
José Bragato,ARGENTINA,Classical,born 1915,
Carlos López Buchardo,ARGENTINA,Classical,1881,1948
Facundo Cabral,ARGENTINA,Classical,born 1937,
Sergio Calligaris,ARGENTINA,Classical,born 1941,
Julio de Caro,ARGENTINA,Classical,1899,1980
Fernando González Casellas,ARGENTINA,Classical,1925,1998
Graciela Castillo,ARGENTINA,Classical,born 1940,
Juan José Castro,ARGENTINA,Classical,1895,1968
Alejandro Civilotti,ARGENTINA,Classical,born 1959,
Ellen C. Covito,ARGENTINA,Classical,born 1974,
Mario Davidovsky,ARGENTINA,Classical,born 1934,
Hilda Dianda,ARGENTINA,Classical,born 1925,
Oscar Edelstein,ARGENTINA,Classical,born 1953,
Juan Pedro Esnaola,ARGENTINA,Classical,1808,1878
Juan Falú,ARGENTINA,Classical,born 1948,
Juan de Dios Filiberto,ARGENTINA,Classical,1885,1964
Roberto Firpo,ARGENTINA,Classical,1884,1969
Carlos Gardel,ARGENTINA,Classical,1890,1935
Alberto Ginastera,ARGENTINA,Classical,1916,1983
Osvaldo Golijov,ARGENTINA,Classical,born 1960,
Carlos Guastavino,ARGENTINA,Classical,1912,2000
Emilio Kauderer,ARGENTINA,Classical,born 1950,
Mauricio Kagel,ARGENTINA,Classical,1931,2008
Marcelo Koc,ARGENTINA,Classical,1918,2006
Maria Teresa Luengo,ARGENTINA,Classical,born 1940,
Enrique Maciel,ARGENTINA,Classical,1897,1962
Claudio Maldonado,ARGENTINA,Classical,born 1980,
Rosita Melo,ARGENTINA,Classical,1897,1981
Rosendo Mendizabal,ARGENTINA,Classical,1868,1913
Silvina Milstein,ARGENTINA,Classical,born 1956,
Ricardo Montaner,ARGENTINA,Classical,born 1957,
Jorge Morel,ARGENTINA,Classical,born 1931,
Mariano Mores,ARGENTINA,Classical,born 1922,
Nelly Moretto,ARGENTINA,Classical,1925,1978
Ettore Panizza,ARGENTINA,Classical,1875,1967
Graciela Paraskevaidis,ARGENTINA,Classical,born 1940,
Marcela Pavia,ARGENTINA,Classical,born 1957,
Juan Carlos Paz,ARGENTINA,Classical,1901,1972
Astor Piazzolla,ARGENTINA,Classical,1921,1992
